File created on Friday 20th of July 2012 03:07:09 AM
Name           HD      RA            DEC           Magn
HD 9612        9612    +01 37 22.2   +74 18 03.4   6.59
V4031 Sgr      170235  +18 29 22.0   -25 15 23.8   6.59
V2148 Cyg      201733  +21 09 58.6   +45 30 09.2   6.61
V568 Cyg       197419  +20 42 22.3   +35 27 22.3   6.67
HD 203374      203374  +21 19 07.4   +61 51 30.4   6.69
HD 199218      199218  +20 54 22.3   +40 42 10.7   6.70
HD 166917      166917  +18 12 40.4   +02 48 46.1   6.70
AX Mon         45910   +06 30 32.9   +05 52 01.2   6.74
z Her          162732  +17 50 03.3   +48 23 38.9   6.76
HD 21641       21641   +03 31 33.1   +47 51 44.7   6.77
V4379 Sgr      165202  +18 05 33.3   -19 45 15.1   6.80
V1165 Tau      38010   +05 43 39.1   +25 26 22.4   6.82
HD 30677       30677   +04 50 03.6   +08 24 28.2   6.84
HD 163296      163296  +17 56 21.3   -21 57 21.9   6.87
HD 173371      173371  +18 44 55.9   -00 22 24.4   6.89
V764 Cas       7636    +01 17 26.3   +57 37 55.5   6.89
HD 174105      174105  +18 48 22.7   +15 23 38.9   6.90
V742 Mon       50083   +06 51 45.8   +05 05 03.9   6.92
BN Gem         60848   +07 37 05.7   +16 54 15.3   6.92
V2163 Cyg      204860  +21 30 00.9   +45 29 39.1   6.94
12 Aur         33988   +05 16 27.1   +46 24 57.8   6.95
HL Lib         127208  +14 30 40.5   -22 27 39.3   6.96
V357 Lac       212044  +22 20 22.7   +51 51 39.6   6.98
HD 168957      168957  +18 21 27.8   +25 03 24.4   6.98
HD 26398       26398   +04 11 03.4   +16 38 49.1   7.00
V777 Cas       11606   +01 55 42.9   +59 16 24.4   7.02
HD 177427      177427  +19 05 46.9   -29 04 52.1   7.08
HD 162428      162428  +17 50 01.2   +24 28 05.1   7.10
HD 47160       47160   +06 37 05.7   -02 10 44.5   7.10
HD 62367       62367   +07 43 32.1   -04 40 50.4   7.13
HD 46131       46131   +06 30 38.5   -22 19 18.5   7.14
QY Gem         51354   +06 57 42.9   +17 54 07.2   7.15
HD 37115       37115   +05 35 54.1   -05 37 42.3   7.16
V749 Mon       53085   +07 03 37.2   -02 28 27.0   7.20
HD 205060      205060  +21 31 36.9   +42 42 02.7   7.22
HD 49888       49888   +06 50 08.1   -12 35 05.1   7.23
V1372 Ori      36012   +05 28 48.5   +02 09 53.0   7.24
V434 Aur       37657   +05 42 19.9   +43 03 34.5   7.25
HD 6343        6343    +01 05 53.0   +65 58 15.8   7.26
KS CMa         49699   +06 49 15.9   -12 40 04.5   7.26
V447 Aur       40978   +06 04 38.4   +46 35 06.4   7.29
HD 21650       21650   +03 31 15.7   +41 43 35.2   7.33
HD 37330       37330   +05 37 53.5   +00 58 07.0   7.38
V380 Cep       200775  +21 01 36.9   +68 09 47.8   7.42
V420 Aur       34921   +05 22 35.2   +37 40 33.6   7.45
HD 43264       43264   +06 15 35.7   +07 39 08.2   7.51
HD 194057      194057  +20 21 40.3   +44 48 51.2   7.52
HD 49787       49787   +06 49 55.5   -05 30 47.5   7.54
HD 58127       58127   +07 23 37.7   -14 06 00.6   7.58
V782 Cas       12882   +02 08 45.4   +65 02 14.7   7.62
V1150 Tau      29441   +04 38 36.2   +08 10 30.6   7.63
QQ Gem         46264   +06 33 05.6   +16 56 55.5   7.64
HD 46484       46484   +06 33 54.4   +04 39 44.6   7.65
HD 51506       51506   +06 57 56.0   +06 32 56.9   7.68
CT Cam         22298   +03 38 01.0   +55 10 15.1   7.69
HD 13867       13867   +02 16 36.0   +49 49 11.6   7.71
HD 39018       39018   +05 50 32.3   +18 01 34.9   7.72
BT CMi         65079   +07 57 04.0   +02 57 03.0   7.77
V581 Per       24560   +03 56 20.4   +44 56 15.0   7.78
HD 194779      194779  +20 25 55.1   +41 20 11.7   7.80
V2123 Cyg      195907  +20 33 05.1   +31 39 25.3   7.82
V549 Per       13661   +02 14 53.1   +54 31 54.2   7.86
HD 43913       43913   +06 18 58.5   +04 11 28.7   7.88
FF Cam         60062   +07 46 52.9   +81 40 56.8   7.89
HD 168135      168135  +18 18 50.7   -12 27 14.4   7.92
HD 37806       37806   +05 41 02.3   -02 43 00.7   7.93
HD 225095      225095  +00 03 27.1   +55 33 03.2   7.95
HD 64109       64109   +07 52 22.6   +03 50 35.3   7.97
HD 197434      197434  +20 41 25.2   +54 12 33.9   7.98
V1448 Aql      180126  +19 15 01.4   +09 48 27.4   7.99
