n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
5789  1 0 03.6  44 42 48  6.04
5805  12 10 46.1  27 16 53  6.01
5820  0 59 49.7  6 28 59  6.11
5835  21 36 57.0  40 24 49  5.01
5848  1 8 44.7  86 15 25  4.25
5914  1 33 50.4  89 0 56  6.46
5939  21 37 27.9  44 41 48  6.20
5943  12 11 00.0  81 42 36  6.00
5981  12 11 51.2  25 52 13  5.66
6002  12 11 44.9  57 3 16  6.43
6022  12 12 01.2  28 32 10  6.49
6027  21 38 45.0  25 29 56  6.16
6028  1 2 18.4  51 2 6  6.47
6040  21 37 38.7  54 2 32  6.15
6043  21 39 01.1  20 15 55  5.85
6055  1 1 18.3  -38 55 0  5.59
6057  12 12 09.3  20 32 31  5.57
6112  12 12 11.9  77 36 59  5.14
6114  1 3 01.5  47 22 34  6.45
6116  1 2 54.3  41 20 42  5.98
6118  1 2 49.1  31 48 16  5.50
6130  1 3 37.0  61 4 30  5.92
6165  21 37 55.2  62 4 55  4.73
6178  1 2 26.4  -31 33 7  5.50
6186  1 2 56.6  7 53 24  4.28
6192  1 2 01.8  -57 0 9  6.11
6203  1 3 02.6  -4 50 12  5.43
6210  1 4 19.6  61 34 49  5.84
6211  1 4 02.4  52 30 8  5.99
6232  11 34 29.5  -32 49 53  5.98
6245  1 2 49.2  -46 23 51  5.36
6251  12 13 25.9  10 15 44  5.85
6267  21 38 57.6  57 29 21  5.62
6269  1 3 17.6  -29 31 33  6.29
6288  1 3 49.0  1 22 0  6.04
6300  1 4 46.8  51 0 36  6.54
6301  1 4 27.6  29 39 31  6.19
6311  1 2 42.9  -65 27 22  6.21
6314  1 4 36.4  39 59 28  6.72
6319  1 16 13.5  87 8 43  6.25
6330  21 40 11.1  43 16 26  5.11
6386  1 4 52.6  5 39 23  6.00
6397  1 5 05.4  14 56 46  5.68
6416  1 6 22.8  62 45 42  6.54
6441  21 4 34.7  5 30 10  5.61
6456  1 5 40.9  21 28 24  5.34
6457  1 5 41.7  21 27 55  5.56
6473  1 9 12.3  80 0 42  6.29
6478  12 14 43.4  53 26 5  6.16
6479  1 5 49.2  4 54 30  6.35
6480  1 5 51.4  4 54 34  7.25
6482  1 5 36.8  -9 58 45  6.12
6497  1 7 00.2  56 56 6  6.43
6509  21 40 43.3  54 52 20  6.20
6530  1 6 05.1  -9 50 22  5.58
6538  21 41 34.3  40 48 19  6.11
6540  1 7 09.5  53 29 54  6.38
6557  1 6 33.6  12 57 22  6.12
6559  1 6 07.7  -23 59 33  6.14
6570  21 42 01.1  35 30 37  6.07
6574  12 15 08.5  70 12 0  5.71
6582  1 8 16.4  54 55 13  5.17
6591  12 15 25.6  57 1 57  3.31
6595  1 6 05.0  -46 43 7  3.31
6611  21 4 41.7  2 56 31  6.42
6619  1 6 26.5  -35 39 39  6.61
6631  21 4 45.4  2 16 11  6.33
6632  21 42 08.4  45 45 57  6.17
