n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
7732  1 20 19.5  77 34 14  6.31
7758  1 18 10.2  47 25 11  6.25
7780  21 49 19.0  61 16 22  6.17
7788  1 15 46.1  -68 52 34  4.86
7804  1 17 48.0  3 36 52  5.16
7853  1 18 47.0  37 23 10  6.46
7857  21 51 04.9  39 32 12  6.17
7901  21 5 26.7  5 57 30  5.94
7904  12 23 47.0  42 32 34  6.06
7916  1 17 03.6  -66 23 53  6.24
7925  1 21 59.1  76 14 20  6.38
7927  1 20 04.9  58 13 54  4.98
7932  21 52 18.2  21 16 23  6.89
7950  12 24 01.5  51 33 44  4.80
7964  1 19 28.0  27 15 51  4.76
7966  12 24 18.5  26 5 55  5.18
7978  21 52 29.9  28 47 36  5.53
8003  1 21 05.2  64 39 30  6.34
8007  12 24 26.7  25 34 58  6.42
8036  1 19 48.3  0 30 32  5.87
8057  21 53 03.8  25 55 30  5.08
8065  1 23 46.8  78 43 33  6.07
8095  21 52 01.0  55 47 49  5.71
8120  1 20 34.5  -3 14 49  6.23
8121  1 20 27.8  -11 14 20  6.15
8123  12 25 15.1  23 55 34  6.03
8126  1 21 07.4  28 44 17  5.23
8132  21 51 37.3  65 45 10  6.37
8135  12 25 03.2  56 46 39  5.81
8150  12 25 06.4  63 48 10  6.32
8207  1 22 20.4  45 31 44  4.88
8225  12 25 50.9  39 1 7  5.02
8249  12 26 36.5  -63 5 58  1.73
8252  11 35 55.6  -47 38 30  5.25
8272  1 23 21.6  58 8 35  6.45
8283  12 26 24.1  27 16 6  4.95
8334  1 22 37.0  1 43 35  6.20
8335  1 22 34.8  0 26 59  6.49
8350  1 22 30.5  -19 4 53  6.35
8374  1 23 40.6  37 42 54  5.58
8375  1 23 37.5  34 14 45  6.29
8381  12 26 56.3  28 16 6  4.36
8382  12 26 59.3  26 49 32  5.00
8388  1 23 24.9  20 28 8  5.97
8399  12 26 24.2  71 55 47  6.24
8412  11 35 46.8  -63 1 11  3.13
8424  1 25 46.5  70 58 48  6.49
8491  1 25 56.0  68 7 48  4.74
8498  1 23 31.0  -30 56 44  5.84
8501  21 54 53.2  56 36 41  5.80
8502  12 27 35.1  55 42 46  5.70
8511  1 24 02.5  -8 0 27  6.21
8512  1 24 01.4  -8 11 0  3.60
8527  21 56 24.0  21 14 23  6.40
8538  1 25 49.0  60 14 7  2.68
8556  1 24 20.6  -6 54 53  5.91
8589  1 24 39.8  -15 39 37  6.14
8599  1 24 48.7  -2 50 55  6.15
8606  21 55 20.7  61 32 31  6.13
8634  1 25 35.7  23 30 42  6.18
8642  12 28 38.1  26 13 36  6.54
8651  1 24 40.8  -41 29 33  5.42
8651  12 28 44.6  25 53 57  6.65
8662  12 28 54.7  25 54 46  5.29
8671  1 26 18.6  43 27 28  5.96
8673  1 26 08.7  34 34 47  6.31
8681  1 24 41.9  -44 31 42  6.26
8682  21 55 31.1  65 19 15  5.86
8705  1 25 37.2  -14 35 56  4.90
8722  12 29 26.9  24 6 32  5.48
8723  1 26 15.3  19 10 20  5.38
8727  21 57 02.2  48 40 7  6.42
8763  1 26 41.7  19 14 25  5.50
8765  12 29 43.2  20 53 46  5.69
8774  1 27 06.2  34 22 39  6.27
8779  1 26 27.3  0 23 55  6.41
8799  1 27 39.4  45 24 24  4.83
8801  1 27 26.6  41 6 2  6.46
8803  1 26 53.5  3 32 7  6.58
8810  1 25 05.3  -64 22 10  5.93
8816  21 56 39.1  63 37 32  4.91
8829  1 26 51.6  -13 3 24  5.66
8837  1 27 47.0  40 20 8  6.60
8844  12 29 57.3  58 24 21  5.35
8845  12 30 02.9  51 32 8  6.21
8861  12 30 04.3  58 46 3  6.08
8879  1 26 58.1  -32 32 35  5.79
8890  2 31 48.7  89 15 51  2.02
8891  11 36 40.9  -9 48 8  4.70
8907  12 30 06.7  69 12 4  4.95
8921  1 27 46.6  -10 54 6  6.13
8932  11 36 35.0  -33 34 12  5.74
8945  12 31 00.6  24 34 2  5.46
8947  21 57 11.1  66 9 22  6.43
8949  1 28 22.9  7 57 41  6.20
8954  12 30 50.1  53 4 36  6.21
9021  1 31 13.8  70 15 53  5.81
9030  1 30 52.3  66 5 53  6.14
9053  1 28 21.9  -43 19 6  3.41
9057  1 30 06.2  47 0 26  5.27
9065  1 28 43.3  -33 45 49  6.58
9100  1 29 52.9  18 21 20  6.02
9112  11 36 40.8  -37 14 16  6.31
9112  21 58 53.4  62 41 54  5.93
9124  21 59 23.0  57 39 30  6.59
9132  1 29 36.1  -21 37 46  5.12
9138  1 30 11.1  6 8 38  4.84
9141  21 7 07.7  -25 0 21  4.50
9149  22 0 26.8  33 0 22  6.46
9184  1 29 30.4  -46 45 23  6.31
9201  11 36 56.9  0 49 26  4.30
9228  1 30 22.9  -26 12 28  5.93
9242  21 11 20.7  -72 32 39  6.20
9258  21 57 51.0  74 59 48  6.35
9270  1 31 29.0  15 20 45  3.62
9292  11 36 22.3  -61 3 8  5.83
9298  1 32 07.6  34 48 0  6.39
9307  12 33 34.2  24 16 59  6.29
9317  12 33 38.9  33 14 51  5.42
9339  22 0 39.3  62 29 17  6.66
9345  12 33 47.4  33 23 5  6.24
9352  1 33 25.8  58 19 39  5.70
9358  12 33 44.5  41 21 27  4.26
9362  1 31 15.1  -49 4 22  3.95
9369  21 59 15.0  73 10 48  5.03
9377  1 31 43.3  -30 17 0  5.82
9387  12 33 29.0  69 47 18  3.87
9408  1 33 55.9  59 13 55  4.71
9414  1 31 39.1  -45 34 32  6.17
9419  22 1 50.6  52 52 56  5.78
9481  22 2 04.6  58 0 2  5.56
9484  1 33 03.5  -9 0 53  6.59
9485  12 34 51.1  22 37 45  4.81
9515  22 2 56.7  44 39 0  5.60
9519  12 35 08.1  21 52 53  5.85
9525  1 32 56.0  -36 51 55  5.51
9531  1 34 16.6  37 14 14  5.88
9532  11 37 01.2  -32 59 17  6.29
9544  1 32 36.3  -49 43 40  6.28
9551  12 34 44.0  70 1 19  4.94
9562  1 33 42.9  -7 1 31  5.76
9612  1 37 22.5  74 18 3  6.58
9640  1 34 49.1  18 27 38  5.89
9672  1 34 37.8  -15 40 34  5.63
9693  22 4 34.4  32 56 31  6.38
9712  1 35 52.5  41 4 35  6.38
9729  12 36 23.3  59 29 13  5.5
9742  1 34 50.7  -31 53 32  6.12
9746  1 36 27.2  48 43 22  5.92
9761  22 5 11.4  26 40 26  5.78
9766  1 35 46.4  14 39 41  6.22
9772  22 3 52.9  63 7 11  5.29
9774  1 38 30.9  73 2 24  5.28
9780  1 35 54.8  17 26 1  5.80
9790  22 3 47.4  64 37 40  4.29
9826  1 36 47.8  41 24 20  4.09
9833  22 5 34.7  28 57 50  5.70
9856  1 35 59.0  -15 24 1  5.42
9857  22 5 16.4  46 44 41  6.13
9896  1 35 15.2  -58 8 22  6.01
9900  1 38 07.6  57 58 39  5.56
9906  1 36 08.4  -29 54 27  5.69
9919  1 37 05.9  12 8 30  5.57
9927  1 37 59.6  48 37 42  3.57
9932  22 5 50.6  45 6 44  6.44
9942  21 58 12.7  82 52 11  6.98
9945  22 6 02.0  45 0 52  5.14
9960  22 5 00.5  62 47 8  5.27
9961  22 5 51.2  48 13 54  6.27
9975  22 5 08.9  62 16 48  5.11
9980  12 38 46.3  40 52 28  6.37
9993  22 6 12.4  45 14 55  6.19
9996  1 38 31.7  45 24 0  6.36
9996  12 39 02.1  22 39 34  6.38
10009  1 37 37.7  -9 24 14  6.24
10024  12 39 07.3  21 3 45  5.46
10027  22 7 00.7  25 20 42  3.76
10042  1 33 39.2  -78 30 17  6.11
10052  1 36 44.8  -58 16 15  6.18
10066  12 39 16.9  35 57 7  6.45
10071  22 6 13.5  56 20 35  6.39
10072  1 39 21.0  44 23 10  4.98
10110  1 40 13.1  53 52 6  6.39
10129  22 7 50.3  21 42 10  5.78
10142  1 38 27.4  -36 31 42  5.94
10144  1 37 42.9  -57 14 12  0.46
10148  1 38 51.8  -21 16 31  5.58
10161  1 38 50.0  -25 1 19  6.70
10164  1 39 40.8  16 24 21  5.97
10204  1 40 39.8  43 17 52  5.61
10205  1 40 34.8  40 34 37  4.94
10210  22 8 17.2  25 32 37  6.11
10212  11 37 00.6  -61 17 0  5.15
10220  22 7 09.6  58 50 27  6.32
10221  1 42 20.5  68 2 35  5.59
10221  22 7 25.5  53 18 26  6.14
10241  1 38 48.2  -53 26 20  6.84
10250  1 42 55.9  70 37 21  5.18
10260  1 42 03.0  61 2 18  6.71
10289  22 8 16.5  49 47 47  6.42
10293  1 42 17.8  58 37 40  6.37
10307  1 41 47.2  42 36 49  4.95
10308  1 41 18.4  25 44 45  6.17
10334  22 8 41.0  45 44 31  6.11
10348  1 41 39.2  30 2 50  5.99
10354  22 9 13.6  33 10 20  5.58
10360  1 39 47.4  -56 11 53  5.87
10361  1 39 47.8  -56 11 41  5.76
10362  1 42 58.4  61 25 18  6.34
10380  1 41 25.9  5 29 15  4.44
10390  1 42 03.5  35 14 44  5.64
10425  1 43 19.7  60 33 4  5.78
10453  1 41 44.7  -11 19 29  5.75
10459  22 9 59.2  33 10 42  4.29
10462  12 41 33.9  62 42 47  6.07
10476  1 42 29.8  20 16 7  5.24
10481  1 41 27.3  -38 7 59  6.17
10486  1 43 16.5  45 19 20  6.34
10516  1 43 39.6  50 41 19  4.07
10516  22 10 30.2  20 58 41  6.46
10537  1 42 08.6  -32 19 37  5.25
10538  1 42 03.0  -36 49 57  5.72
10543  1 44 17.9  57 32 11  6.21
10550  1 42 43.5  -3 41 25  4.99
10553  1 41 41.1  -50 2 20  6.64
10571  21 7 44.6  -17 27 19  6.17
10587  1 44 46.1  57 5 21  6.25
10588  1 43 50.0  32 11 30  6.34
10594  22 10 51.6  30 33 11  6.32
10597  1 44 26.5  46 8 23  6.35
10615  1 41 48.0  -60 47 22  5.71
10647  1 42 29.3  -53 44 26  5.52
10658  1 43 54.8  -4 45 56  6.19
10672  11 37 33.9  -47 44 50  5.44
10678  12 43 04.2  61 9 20  6.38
10697  1 44 55.8  20 4 59  6.27
10700  1 44 04.1  -15 56 15  3.50
10715  22 11 09.9  50 49 24  5.40
10745  22 10 51.3  58 12 4  3.35
10761  1 45 23.6  9 9 28  4.26
10762  22 12 08.0  24 57 0  5.92
10780  1 47 44.8  63 51 8  5.63
10800  1 37 55.6  -82 58 30  5.87
10807  22 9 48.4  72 20 28  4.79
10824  1 45 59.3  -5 44 0  5.34
10830  1 45 38.8  -25 3 9  5.31
10834  12 44 27.1  44 6 11  6.33
10839  22 11 30.7  59 24 52  5.04
10845  1 46 35.3  17 24 47  6.55
10855  22 11 48.8  56 50 22  5.24
10859  1 41 21.3  -79 8 54  6.33
10863  1 46 01.0  -27 20 57  6.39
10873  22 10 15.3  72 6 40  6.37
10874  1 47 48.0  46 13 47  6.32
10884  22 10 38.9  70 7 58  5.50
10889  22 12 47.8  34 36 17  5.33
10897  12 44 59.5  39 16 44  5.95
10905  22 11 56.9  59 5 5  6.30
10914  12 45 07.8  45 26 25  4.99
10934  1 46 05.8  -50 48 59  5.49
10939  1 46 06.3  -53 31 19  5.04
10939  22 12 01.9  60 45 34  5.35
10975  1 48 38.9  37 57 10  5.94
10982  1 48 10.9  16 57 20  5.84
11006  22 13 38.6  28 36 30  5.89
11007  1 48 41.6  32 41 25  5.79
11022  1 47 16.8  -41 45 36  6.18
11025  1 37 28.0  -84 46 11  5.69
11029  22 12 22.3  63 17 29  5.79
11031  1 49 15.7  47 53 49  5.82
11037  1 48 26.0  3 41 8  5.91
11050  1 47 47.8  -37 9 35  6.32
11073  22 13 52.7  39 42 54  4.49
11096  22 13 49.3  45 26 27  5.53
11112  12 44 26.0  80 37 16  6.40
11121  11 38 09.8  8 53 3  6.17
11151  1 50 57.1  51 56 0  5.90
11154  1 50 08.5  22 16 31  5.86
11171  1 49 35.1  -10 41 11  4.67
11183  1 49 19.5  -31 4 22  6.34
11211  22 14 44.4  42 57 14  5.71
11241  1 51 59.3  55 8 51  5.52
11242  22 13 49.5  63 9 45  6.11
11257  1 50 52.0  11 2 36  5.94
11262  1 49 48.8  -38 24 14  6.37
11270  12 47 18.9  62 46 51  5.89
11291  1 52 09.4  50 47 34  5.79
11300  22 12 52.9  73 18 26  6.08
11322  11 37 15.6  -75 53 48  5.65
11332  1 50 20.2  -47 48 59  6.14
11335  1 52 50.8  51 28 29  6.26
11335  12 47 34.4  66 47 25  5.43
11336  22 15 02.0  57 2 37  4.19
11353  1 51 27.6  -10 20 6  3.73
11388  22 15 58.2  37 44 56  4.13
11395  12 48 47.0  24 50 25  6.31
11408  1 53 48.5  55 35 53  6.45
11413  1 50 54.5  -50 12 22  5.94
11415  1 54 23.7  63 40 12  3.38
11421  12 48 41.8  48 28 1  6.27
11428  1 53 17.3  40 43 47  5.40
11432  22 16 29.7  27 48 15  6.37
11443  1 53 04.9  29 34 44  3.41
11456  12 48 39.4  60 19 12  5.85
11469  12 49 17.4  27 33 8  5.78
11502  1 53 31.8  19 17 37  4.75
11503  1 53 31.8  19 17 45  4.83
11522  1 52 52.1  -16 55 45  5.80
11529  1 56 00.0  68 41 7  4.99
11531  11 38 27.6  8 8 3  5.36
11541  11 38 24.1  -2 26 10  6.22
11554  22 16 26.5  57 13 13  5.88
11559  1 53 33.3  3 11 15  4.62
11591  12 50 17.4  22 51 48  6.43
11604  1 47 46.5  -80 10 36  6.06
11604  12 50 10.7  37 31 1  5.89
11613  1 54 53.8  40 42 7  6.24
11622  11 37 48.4  -67 37 13  5.96
11624  1 54 57.5  37 7 42  6.26
11636  1 54 38.4  20 48 29  2.64
11643  1 53 23.2  -38 35 41  6.10
11695  1 53 38.8  -46 18 9  4.41
11727  1 55 54.4  37 16 40  5.89
11749  1 56 09.3  37 15 6  5.67
11753  1 54 22.0  -42 29 49  5.11
11763  1 55 51.0  23 34 38  5.74
11797  22 18 56.2  37 46 10  6.17
11803  1 55 53.8  1 50 59  6.01
11812  12 51 41.9  27 32 26  4.94
11833  22 18 12.7  62 48 16  5.75
11841  21 8 33.6  -21 11 37  5.30
11857  1 58 33.3  61 41 53  6.02
11892  11 38 07.3  -61 49 35  5.15
11905  1 57 56.4  41 41 40  6.78
11909  1 57 21.1  17 49 3  5.10
11928  1 57 43.8  27 48 16  5.82
11930  1 56 40.2  -22 31 37  4.85
11937  1 55 57.5  -51 36 32  3.70
11946  1 59 38.0  64 37 17  5.26
11949  1 58 33.6  49 12 15  5.69
11961  21 7 33.6  15 39 31  6.34
11973  1 57 55.7  23 35 46  4.79
11977  1 54 56.1  -67 38 50  4.69
11981  11 38 40.1  -13 12 7  5.48
11995  1 55 46.4  -60 51 41  6.06
12005  2 2 57.2  77 54 59  6.04
12014  12 49 06.6  83 25 5  5.85
12028  12 49 13.6  83 24 46  5.28
12033  12 53 17.8  21 14 42  4.90
12042  1 57 00.1  -51 45 58  6.10
12047  22 21 00.1  26 56 7  6.47
12055  1 57 10.0  -47 23 6  4.83
12071  22 20 39.6  50 58 51  6.42
12097  22 21 19.3  28 19 50  4.81
12111  2 1 57.4  70 54 25  4.54
12120  22 21 01.6  46 32 12  4.57
12135  1 58 26.7  -33 4 0  6.35
12139  1 59 35.7  21 3 30  5.87
12140  1 59 25.9  12 17 41  6.09
12150  22 18 20.4  76 29 17  6.66
12171  12 54 13.1  33 32 4  6.26
12173  2 3 10.5  73 51 2  6.23
12185  12 54 01.7  55 57 35  1.77
12216  2 3 26.1  72 25 17  3.98
12222  22 21 50.9  42 4 42  6.41
12230  2 5 07.4  77 16 53  5.38
12235  2 0 09.2  3 5 50  5.88
12255  1 59 46.1  -20 49 28  5.41
12264  12 54 56.5  47 11 48  5.84
12270  1 57 53.6  -65 25 29  6.37
12274  2 0 00.3  -21 4 40  4.00
12279  2 2 52.7  64 54 5  6.00
12292  2 0 26.9  -8 31 25  5.51
12296  1 59 38.8  -42 1 50  5.57
12301  2 3 00.3  64 23 24  5.58
12303  2 2 18.1  54 29 15  5.04
12311  1 58 46.2  -61 34 11  2.86
12339  2 5 31.2  76 6 54  5.22
12363  1 55 50.5  -78 20 54  6.16
12395  22 23 39.6  20 50 54  6.04
12412  12 56 00.4  38 18 53  5.60
12413  12 56 01.7  38 19 6  2.90
12429  12 55 28.5  65 26 19  5.24
12438  2 1 14.7  -30 0 6  5.35
12446  2 2 02.8  2 45 49  5.23
12447  2 2 02.8  2 45 49  4.33
12454  22 23 00.2  57 17 4  6.16
12467  2 9 25.3  81 17 45  6.05
12468  2 4 40.1  65 6 12  6.52
12471  2 2 58.0  33 17 2  5.50
12477  1 59 41.1  -66 3 59  6.10
12479  2 2 35.2  13 28 36  5.94
12486  12 56 17.6  54 5 58  5.82
12487  22 23 54.2  38 34 25  6.22
12495  22 23 00.2  62 25 12  6.04
12496  22 23 33.6  52 13 45  4.43
12524  2 1 42.4  -44 42 49  5.14
12533  2 3 54.0  42 19 47  2.26
12534  2 3 54.7  42 19 51  4.84
12558  2 3 39.3  25 56 8  5.63
12563  2 2 28.1  -29 39 54  6.42
12570  12 57 07.7  46 10 37  6.12
12573  2 3 11.7  0 7 42  5.43
12583  2 2 58.6  -15 18 21  5.86
12591  11 39 00.4  -24 43 16  6.42
12593  22 24 31.0  49 28 35  4.57
12594  2 3 42.6  18 15 12  6.21
12641  2 3 48.2  0 20 25  5.93
12642  2 3 40.5  -4 6 13  5.62
12710  22 13 10.6  86 6 29  5.27
12767  2 4 29.4  -29 17 49  4.69
12869  2 6 33.9  22 38 54  5.03
12872  2 6 12.3  8 14 51  6.31
12883  22 26 45.7  37 26 38  6.46
12885  2 6 49.2  25 42 17  6.15
12923  2 6 29.3  0 2 6  6.28
12929  2 7 10.4  23 27 45  2.00
12937  22 23 41.3  78 14 36  6.76
12953  2 8 40.5  58 25 25  5.67
12978  22 27 26.5  39 48 35  6.14
12981  21 8 28.2  6 59 22  6.15
12986  22 26 59.2  56 26 0  6.57
12988  22 27 46.2  31 50 25  5.98
12989  13 0 16.5  30 47 6  4.90
13013  2 8 33.6  44 27 34  6.42
13022  22 26 00.8  70 46 15  5.47
13041  2 8 29.3  37 51 33  4.82
13049  12 58 47.3  75 28 21  6.01
13087  22 27 05.3  65 7 56  5.46
13092  12 59 55.1  66 35 50  5.32
13137  2 10 07.8  53 50 35  6.31
13139  13 0 43.8  56 21 59  4.93
13161  2 9 32.6  34 59 14  3.00
13174  2 9 25.3  25 56 23  4.98
13179  22 29 10.2  26 45 47  5.79
13201  2 9 23.1  17 13 28  6.43
13215  2 8 45.7  -17 46 46  6.10
13222  2 13 21.2  74 1 40  6.29
13242  22 28 19.7  64 5 8  6.29
13267  2 11 29.0  57 38 45  6.36
13272  22 29 43.9  35 43 32  6.56
13294  2 10 52.8  39 2 22  5.63
13295  2 10 53.7  39 2 35  6.10
13305  2 9 34.8  -24 20 45  6.48
13306  22 29 10.3  58 24 55  3.75
13310  22 29 31.8  47 42 25  4.36
13323  22 30 01.8  32 34 21  5.65
13325  2 10 37.6  19 30 1  5.70
13336  2 9 09.3  -43 31 0  5.85
13337  13 1 46.8  63 36 37  6.00
13363  2 11 12.0  25 56 13  6.02
13372  2 11 25.0  31 31 35  6.23
13389  22 30 06.5  49 21 22  6.40
13403  22 26 42.5  78 47 9  5.83
13420  22 30 29.3  43 7 24  4.51
13421  2 11 21.1  8 34 11  5.63
13423  2 10 04.9  -43 48 56  6.32
13436  13 2 40.4  59 42 58  6.53
13445  2 10 25.6  -50 49 28  6.12
13456  2 11 22.2  -10 3 8  6.01
13468  2 11 35.8  -1 49 31  5.93
13474  2 14 29.1  66 31 28  6.07
13476  2 13 41.5  58 33 40  6.44
13480  2 12 22.3  30 18 11  4.94
13520  2 13 13.3  44 13 54  4.83
13521  21 9 33.0  -20 33 23  6.25
13522  2 12 37.5  24 10 4  5.96
13530  2 13 36.3  51 3 57  5.31
13534  22 31 34.2  29 32 34  6.35
13555  2 12 48.1  21 12 39  5.27
13558  22 31 17.5  50 16 57  3.77
13594  2 14 02.6  47 29 3  6.06
13596  2 13 03.3  15 16 47  5.71
13611  2 13 00.0  8 50 48  4.37
13612  2 12 47.5  -2 23 37  5.54
13660  22 32 26.4  39 46 47  5.88
13691  11 39 51.1  -14 28 7  6.21
13692  2 13 00.9  -21 0 1  5.86
13701  11 39 50.4  -16 37 13  6.19
13709  2 12 54.5  -30 43 26  5.28
13712  21 13 20.5  -70 7 35  5.02
13720  22 32 18.8  54 2 15  6.35
13792  11 39 29.4  -65 23 52  5.17
13797  13 5 44.5  35 47 56  5.25
13798  22 29 52.9  78 49 27  5.50
13811  21 9 35.7  -11 22 18  4.51
13818  2 15 57.9  47 48 41  6.33
13847  13 5 52.3  45 16 7  5.63
13848  13 6 21.2  21 9 12  5.99
13854  2 16 51.7  57 3 19  6.48
13865  13 6 10.2  29 1 46  6.54
13866  13 6 22.6  22 36 58  5.60
13869  2 15 56.2  33 21 32  5.28
13871  2 15 46.0  25 46 59  5.79
13872  2 15 42.8  25 2 35  5.58
13889  13 4 49.7  73 1 31  6.31
13930  22 33 40.6  56 37 30  5.71
13936  2 15 28.3  -9 27 56  6.55
13940  2 14 32.0  -41 10 0  5.91
13973  22 33 02.9  69 54 49  6.6
13974  2 17 03.2  34 13 27  4.87
13982  2 17 59.9  57 53 59  5.75
13994  2 18 04.5  57 31 0  5.98
13994  13 6 22.7  62 2 31  6.14
13996  13 7 10.7  27 37 29  4.80
14019  22 33 17.0  70 22 26  6.34
14028  2 17 33.4  44 18 25  6.7
14035  22 32 16.2  76 13 35  5.68
14055  2 17 18.9  33 50 50  4.01
14067  2 17 10.4  23 46 4  6.55
14092  13 7 53.6  27 33 21  6.19
14129  2 16 59.0  -6 25 20  5.51
14141  2 14 14.7  -67 50 30  5.55
14168  22 35 52.3  39 38 3  5.73
14171  2 20 12.9  64 20 14  6.60
14191  2 18 07.5  19 54 4  5.62
14200  22 36 07.9  35 34 38  6.10
14212  2 19 16.8  47 22 48  5.30
14213  2 19 10.9  46 28 21  6.21
14214  2 18 01.4  1 45 28  5.58
14221  2 19 22.7  48 57 19  6.37
14228  2 16 30.6  -51 30 44  3.56
14240  22 35 53.4  50 4 16  6.29
14252  2 18 57.0  28 38 33  5.03
14262  2 18 58.0  23 10 4  6.46
14272  2 19 37.3  39 50 6  6.63
14279  22 35 51.8  56 4 12  6.38
14287  2 15 28.5  -67 44 47  5.69
14312  11 40 12.8  -34 44 41  4.70
14313  22 36 48.7  35 39 9  6.30
14357  13 9 38.7  37 25 23  6.02
14372  2 20 41.4  47 18 39  6.11
14373  2 20 04.4  30 11 18  6.47
14376  13 9 42.0  38 32 2  6.28
14386  2 19 20.7  -2 58 39  3.04
14392  2 20 58.2  50 9 5  5.59
14412  2 18 58.5  -25 56 44  6.34
14417  2 19 40.8  -4 20 44  6.50
14447  13 10 03.2  38 29 56  5.91
14454  22 37 22.4  51 32 43  4.63
14470  22 35 46.1  73 38 35  5.08
14489  2 22 21.4  55 50 44  5.17
14504  13 9 50.2  62 13 45  6.54
14509  2 19 24.7  -41 50 54  6.37
14558  22 38 17.5  45 10 59  6.40
14622  2 22 50.3  41 23 47  5.82
14641  2 19 54.3  -55 56 41  5.81
14652  2 21 56.6  0 23 45  5.28
14662  2 23 51.8  55 21 52  6.28
14665  22 38 37.9  56 47 45  5.21
14680  22 39 15.7  39 3 1  4.88
14690  2 22 12.4  0 53 6  5.42
14691  2 22 01.4  -10 46 40  5.46
14710  13 11 52.4  27 52 41  4.26
14710  22 37 13.0  75 22 18  5.79
14714  22 39 34.3  37 35 34  6.03
14724  13 12 08.4  24 15 29  6.33
14728  2 22 05.0  -17 39 44  5.87
14734  22 38 39.0  63 35 4  5.19
14770  2 24 24.9  50 0 24  5.19
14802  2 22 32.6  -23 48 59  5.20
14818  2 25 16.0  56 36 36  6.25
14830  2 22 57.8  -18 21 16  6.22
14832  2 22 11.8  -43 12 0  6.31
14868  22 40 30.9  44 16 35  4.46
14872  2 25 37.4  50 16 43  4.71
14878  22 40 18.4  53 50 46  5.93
14890  2 23 06.5  -37 34 35  6.53
14943  2 22 54.6  -51 5 32  5.92
14951  2 24 49.0  10 36 38  5.47
14979  22 41 31.4  30 57 57  6.34
14988  2 24 20.1  -25 50 51  6.44
14993  22 41 28.6  40 13 32  5.25
14994  22 41 45.4  29 18 27  4.79
15004  2 24 58.4  -2 46 48  6.33
15004  13 13 43.0  40 9 10  4.92
15008  2 21 44.9  -68 39 34  4.09
15030  22 41 36.1  41 32 58  5.94
15064  2 24 33.8  -40 50 26  6.18
15071  21 9 58.3  2 56 36  6.45
15089  2 29 04.0  67 24 9  4.52
15130  2 25 57.0  -12 17 26  4.89
15138  2 27 51.8  50 34 11  6.12
15144  2 26 00.3  -15 20 28  5.83
15152  2 27 07.0  27 0 48  6.18
15159  22 42 20.8  53 54 32  6.12
15176  2 27 27.7  31 48 5  5.54
15182  22 43 00.1  30 13 17  2.94
15191  22 42 55.5  37 48 10  6.43
15220  2 26 35.2  -20 2 34  5.88
15227  13 13 32.0  72 47 56  6.59
15233  2 24 53.9  -60 18 43  5.35
15242  22 43 04.5  47 10 7  6.39
15248  2 22 52.3  -73 38 45  5.01
15253  2 29 25.0  55 32 11  6.51
15257  2 28 10.0  29 40 10  5.29
15271  13 15 32.0  40 51 19  5.79
15318  2 28 09.5  8 27 36  4.28
15328  2 28 00.0  1 57 39  6.45
15335  2 28 48.5  29 55 55  5.89
15337  13 12 25.4  80 28 17  6.25
15359  22 44 05.2  39 27 56  5.95
15365  13 16 32.3  19 47 7  6.45
15371  2 26 59.1  -47 42 14  4.25
15373  22 44 05.5  41 49 9  5.08
15379  2 25 26.3  -66 29 41  6.41
15385  2 29 13.6  23 28 8  6.19
15412  11 40 42.6  -53 58 7  5.96
15427  2 28 01.7  -33 48 40  5.14
15453  2 29 35.3  9 33 57  6.07
15464  2 30 16.6  33 50 2  6.25
15471  2 28 35.4  -31 6 9  6.11
15518  22 44 49.2  52 31 2  6.55
15524  2 30 32.4  25 14 6  5.92
15550  2 30 38.4  19 51 19  6.15
15588  2 29 55.4  -22 40 58  6.77
15596  2 30 54.4  17 42 14  6.23
15604  13 17 32.5  40 34 21  4.73
15612  13 16 28.6  68 24 29  6.20
15631  11 41 08.4  -29 11 47  6.44
15633  2 30 45.2  0 15 19  6.00
15634  2 30 13.8  -25 11 11  6.51
15646  2 28 04.4  -64 17 59  6.37
15652  2 30 32.8  -22 32 44  6.10
15656  2 32 06.2  36 8 50  5.15
15664  22 46 10.2  44 32 46  5.76
15665  22 46 31.9  23 33 56  3.95
15671  21 10 46.9  -9 21 14  6.27
15694  2 31 30.1  2 16 2  5.25
15702  11 40 53.6  -62 5 24  4.94
15723  13 18 27.8  34 5 53  5.82
15735  13 18 14.5  49 40 55  5.15
15755  2 32 52.5  34 32 33  5.83
15779  2 32 09.4  -1 2 6  5.35
15798  2 32 05.2  -15 14 41  4.75
15810  13 19 04.2  35 7 41  6.02
15814  2 32 54.1  15 2 5  6.04
15889  2 32 14.8  -36 25 39  6.30
15907  22 47 23.2  58 28 58  6.36
15920  2 38 02.0  72 49 6  5.16
15943  22 48 10.9  37 25 0  5.90
15975  2 33 07.0  -34 39 0  5.90
15996  2 33 40.2  -20 0 7  6.21
16004  2 35 27.9  39 39 52  6.36
16010  13 20 19.0  40 9 2  5.60
16011  21 10 20.5  10 7 54  4.69
16024  2 37 36.1  65 44 44  5.78
16028  2 35 38.8  37 18 44  5.71
16046  2 33 50.7  -28 13 57  4.90
16057  22 48 47.8  54 24 54  6.12
16058  2 35 46.8  34 41 15  5.35
16060  2 35 04.1  7 28 17  6.18
16074  2 34 42.7  -7 51 34  5.75
16102  22 48 44.2  62 56 18  6.06
16131  22 50 00.2  24 36 6  3.48
16152  11 41 19.8  -43 5 45  5.55
