12849   2.6  2.2  0.0  5.0 v   5.10
12854   0.9  0.0  0.0  8.6 d   0.19
12879   3.0  2.0  0.0  5.0 v  10.00
12880   2.6  2.2  0.0  6.0 v   5.40
12889   6.0  1.4  0.0  5.0 v   8.40
12903   5.0  1.5  0.0  5.5 v   8.40
12904   2.8  2.6  0.0  5.0 v   6.20
12930   4.0  2.0  0.0  5.0 d   8.00
12983   6.0  2.4  0.0  5.0 v   6.50
12987   6.0  2.0  0.0  6.0 v  10.00
12988   2.6  2.2  0.0  5.5 v   4.70
13003   6.0  2.4  0.0  5.0 v   6.80
13007   8.6  3.0  0.0  4.5 v  21.00
13012   4.0  2.0  0.0  6.5 v  16.00
13027   2.0  1.0  0.0  7.5 v   2.80
13028   6.0  2.4  0.0  5.5 v   4.40
13034   6.0  2.4  0.0  5.5 v   4.90
13066   6.0  2.4  0.0  5.5 v   4.30
13067   5.0  1.5  0.0  5.0 v   6.90
13068   2.8  2.6  0.0  5.0 v   5.60
13070   4.0  2.0  0.0  6.0 v  15.00
13080   4.0  2.0  0.0  6.5 v   9.30
13083   5.0  2.0  0.0  5.5 d   4.40
13086   4.0  2.0  0.0  6.5 v  10.00
13092   3.0  0.0  0.0  6.0 d   1.90
13111   6.0  2.4  0.0  6.5 v   5.40
13113   5.0  1.5  0.0  6.0 v   6.00
13114   2.6  2.2  0.0  5.5 v   5.80
13120   5.0  1.5  0.0  6.0 v   8.80
13121   2.8  2.6  0.0  5.0 v   6.00
13128   6.0  2.4  0.0  7.0 v   4.90
